standard_concept_id,source_code,concept_name,concept_type,domain_id,vocabulary_id
2110176,58152,"Total abdominal hysterectomy (corpus and cervix), with or without removal of tube(s), with or without removal of ovary(s); with colpo-urethrocystopexy (eg, Marshall-Marchetti-Krantz, Burch)",surgery,Procedure,CPT4
40217927,C1799,"Brachytherapy seed, i-plant iodine 125 model 3500 (Deprecated)",radiation,Device,HCPCS
35603924,63323075010,10 ML oxaliplatin 5 MG/ML Injection,chemo,Drug,NDC
40164972,60505036801,megestrol acetate 40 MG/ML Oral Suspension,chemo,Drug,NDC
19008265,63323027810,vinblastine sulfate 1 MG/ML Injectable Solution,chemo,Drug,NDC
44782142,G9022,CHEMO ASSESS NAUSEA VOMIT L2 (Deprecated),chemo,Observation,HCPCS
1593011,13742686,Vincristine Sulfate 1 MG/ML Injectable Solution,chemo,Drug,NDC
43533205,G0458,"Low dose rate (ldr) prostate brachytherapy services, composite rate",radiation,Procedure,HCPCS
19079716,93760057,temozolomide 20 MG Oral Capsule,chemo,Drug,NDC
793857,70437024026�,neratinib 40 MG Oral Tablet [Nerlynx],chemo,Drug,NDC
19022830,68084080311,letrozole 2.5 MG Oral Tablet,chemo,Drug,NDC
2722573,00503ZZ,"Destruction of Brain, Percutaneous Approach",surgery,Procedure,ICD10PCS
4261671,19162,"Mastectomy, partial; with axillary lymphadenectomy (Deprecated)",surgery,Procedure,CPT4
4261671,19162,"Mastectomy, partial; with axillary lymphadenectomy (Deprecated)",radiation,Procedure,CPT4
19075392,44567051101,cisplatin 1 MG/ML Injectable Solution,chemo,Drug,NDC
46275601,54569531600,Methotrexate 25 MG/ML Injectable Solution,chemo,Drug,NDC
19007233,15301260,carmustine 100 MG Injection [BiCNU],chemo,Drug,NDC
35603172,55111068607,gemcitabine 200 MG Injection,chemo,Drug,NDC
1242725,Z51.0,Encounter for antineoplastic radiation therapy,radiation,Procedure,ICD10CM
40243759,703504001,doxorubicin hydrochloride 2 MG/ML Injectable Solution,chemo,Drug,NDC
35605877,61703035901,25 ML Epirubicin Hydrochloride 2 MG/ML Injection,chemo,Drug,NDC
35604259,45963061455,5 ML irinotecan hydrochloride 20 MG/ML Injection,chemo,Drug,NDC
42628973,63323011718,10 ML fluorouracil 50 MG/ML Injection,chemo,Drug,NDC
35605202,67457047953,5 ML vinorelbine 10 MG/ML Injection,chemo,Drug,NDC
40224789,60687010511,medroxyprogesterone acetate 10 MG Oral Tablet,chemo,Drug,NDC
1436651,378354752,mercaptopurine 50 MG Oral Tablet,chemo,Drug,NDC
2753500,0FT10ZZ,"Resection of Right Lobe Liver, Open Approach",surgery,Procedure,ICD10PCS
2747032,0DBE3ZZ,"Excision of Large Intestine, Percutaneous Approach",surgery,Procedure,ICD10PCS
35603929,67457044220,20 ML oxaliplatin 5 MG/ML Injection,chemo,Drug,NDC
35604259,68001028422,5 ML irinotecan hydrochloride 20 MG/ML Injection,chemo,Drug,NDC
1436683,310073130,Tamoxifen 20 MG Oral Tablet,chemo,Drug,NDC
35603179,2750101,gemcitabine 200 MG Injection [Gemzar],chemo,Drug,NDC
2108469,38525,"Biopsy or excision of lymph node(s); open, deep axillary node(s)",surgery,Procedure,CPT4
955632,62991148602,FLUOROURACIL POWDER,chemo,Drug,NDC
2746543,0DB40ZZ,"Excision of Esophagogastric Junction, Open Approach",surgery,Procedure,ICD10PCS
2211858,77401,"Radiation treatment delivery, superficial and/or ortho voltage, per day",radiation,Procedure,CPT4
1593011,13744686,Vincristine Sulfate 1 MG/ML Injectable Solution,chemo,Drug,NDC
1242725,77406,"Radiation treatment delivery, single treatment area (Deprecated)",radiation,Procedure,CPT4
40224789,58016092640,medroxyprogesterone acetate 10 MG Oral Tablet,chemo,Drug,NDC
19007332,5450707,{4 (Methotrexate 2.5 MG Oral Tablet) } Pack,chemo,Drug,NDC
2748950,0D1587B,"Bypass Esophagus to Ileum with Autologous Tissue Substitute, Via Natural or Artificial Opening Endoscopic",surgery,Procedure,ICD10PCS
2615975,C2640  ,"Brachytherapy source, stranded, palladium-103, per source",radiation,Device,HCPCS
40224789,43063043805,medroxyprogesterone acetate 10 MG Oral Tablet,chemo,Drug,NDC
46275987,S0116,"BEVACIZUMAB, 100 MG (Deprecated)",chemo,Drug,HCPCS
40224789,53002035750,medroxyprogesterone acetate 10 MG Oral Tablet,chemo,Drug,NDC
19034326,85053901,interferon alfa-2b 50000000 UNT Injection [Intron A],chemo,Drug,NDC
955632,38779002501,FLUOROURACIL POWDER,chemo,Drug,NDC
2104761,27048,"Excision, tumor, soft tissue of pelvis and hip area, subfascial (eg, intramuscular); less than 5 cm",surgery,Procedure,CPT4
2722694,00B70ZX,"Excision of Cerebral Hemisphere, Open Approach, Diagnostic",surgery,Procedure,ICD10PCS
2314229,96413,"Chemotherapy administration, intravenous infusion technique; up to 1 hour, single or initial substance/drug",chemo,Procedure,CPT4
36249247,143954601,doxorubicin hydrochloride 2 MG/ML Injectable Solution [Adriamycin],chemo,Drug,NDC
2211844,77321,"Special teletherapy port plan, particles, hemibody, total body",radiation,Procedure,CPT4
19085716,78068361,50 ML nelarabine 5 MG/ML Injection [Arranon],chemo,Drug,NDC
42732722,96408,"Chemotherapy administration, intravenous; push technique (Deprecated)",chemo,Procedure,CPT4
42737624,77784,Remote afterloading high intensity brachytherapy; over 12 source positions or catheters (Deprecated),radiation,Procedure,CPT4
19071366,172375494,Paclitaxel 6 MG/ML Injectable Solution [Onxol],chemo,Drug,NDC
42628946,10019092616,ifosfamide 3000 MG Injection,chemo,Drug,NDC
955632,49452317502,FLUOROURACIL POWDER,chemo,Drug,NDC
40224789,55887047290,medroxyprogesterone acetate 10 MG Oral Tablet,chemo,Drug,NDC
40224789,52493050530,medroxyprogesterone acetate 10 MG Oral Tablet,chemo,Drug,NDC
46275601,58406068315,Methotrexate 25 MG/ML Injectable Solution,chemo,Drug,NDC
1309190,703468691,Mitoxantrone 2 MG/ML Injectable Solution,chemo,Drug,NDC
2722574,00504ZZ,"Destruction of Brain, Percutaneous Endoscopic Approach",surgery,Procedure,ICD10PCS
35605200,703418381,vinorelbine 10 MG/ML Injectable Solution,chemo,Drug,NDC
35605123,409018301,5.26 ML gemcitabine 38 MG/ML Injection,chemo,Drug,NDC
40173224,15356041,Mesna 100 MG/ML Injectable Solution [Mesnex],chemo,Drug,NDC
40224789,21695089630,medroxyprogesterone acetate 10 MG Oral Tablet,chemo,Drug,NDC
40224789,43063043890,medroxyprogesterone acetate 10 MG Oral Tablet,chemo,Drug,NDC
915592,C2645,"Brachytherapy planar source, palladium-103, per square millimeter",radiation,Device,HCPCS
37163186,52204,"Cystourethroscopy, with biopsy(s)",surgery,Procedure,CPT4
37163186,52204,"Cystourethroscopy, with biopsy(s)",radiation,Procedure,CPT4
46276391,J9303,"Injection, panitumumab, 10 mg",chemo,Drug,HCPCS
2746745,0DB44ZZ,"Excision of Esophagogastric Junction, Percutaneous Endoscopic Approach",surgery,Procedure,ICD10PCS
1350506,51079096501,Etoposide 50 MG Oral Capsule,chemo,Drug,NDC
2110094,57111,"Vaginectomy, complete removal of vaginal wall; with removal of paravaginal tissue (radical vaginectomy)",surgery,Procedure,CPT4
1378385,172375531,Paclitaxel 6 MG/ML Injectable Solution [Onxol],chemo,Drug,NDC
40243759,63323010161,doxorubicin hydrochloride 2 MG/ML Injectable Solution,chemo,Drug,NDC
2788815,8E0W4CZ,"Robotic Assisted Procedure of Trunk Region, Percutaneous Endoscopic Approach",surgery,Procedure,ICD10PCS
19047413,J9266,"Injection, pegaspargase, per single dose vial",chemo,Drug,HCPCS
2314250,96570,Photodynamic therapy by endoscopic application of light to ablate abnormal tissue via activation of photosensitive drug(s); first 30 minutes (List separately in addition to code for endoscopy or bronchoscopy procedures of lung and gastrointestinal tract),chemo,Procedure,CPT4
19081615,C9017,"Lomustine, oral, 10 mg (Deprecated)",chemo,Drug,HCPCS
40243759,74504303,Doxorubicin Hydrochloride 2 MG/ML Injectable Solution,chemo,Drug,NDC
35606514,10019093950,cyclophosphamide 1000 MG Injection,chemo,Drug,NDC
35604257,10518010311,Irinotecan hydrochloride 2.8 MG/ML Injectable Solution,chemo,Drug,NDC
40217928,C1800,"Brachytherapy seed, mentor pdgold pd-103 (Deprecated)",radiation,Device,HCPCS
40220871,25021081430,leucovorin 100 MG Injection,chemo,Drug,NDC
45890599,C2644,"Brachytherapy source, cesium-131 chloride solution, per millicurie",radiation,Device,HCPCS
40164972,68094036162,megestrol acetate 40 MG/ML Oral Suspension,chemo,Drug,NDC
2752706,0DX60Z5,"Transfer Stomach to Esophagus, Open Approach",surgery,Procedure,ICD10PCS
